,Line,English name,Russian name,Coordinates
0,1,Bulvar Rokossovskogo,Бульвар Рокоссовского,"55.8148,37.7342"
1,1,Cherkizovskaya,Черкизовская,"55.8038,37.7448"
2,1,Preobrazhenskaya Ploshchad,Преображенская площадь,"55.7963,37.7151"
3,1,Sokolniki,Сокольники,"55.7888,37.6802"
4,1,Krasnoselskaya,Красносельская,"55.7801,37.6673"
5,1,Komsomolskaya,Комсомольская,"55.7753,37.6562"
6,1,Krasnye Vorota,Красные ворота,"55.7690,37.6487"
7,1,Chistyye Prudy,Чистые пруды,"55.7657,37.6388"
8,1,Lubyanka,Лубянка,"55.7597,37.6272"
9,1,Okhotny Ryad,Охотный ряд,"55.7577,37.6166"
10,1,Biblioteka Imeni Lenina,Библиотека имени Ленина,"55.7512,37.6100"
11,1,Kropotkinskaya,Кропоткинская,"55.7453,37.6037"
12,1,Park Kultury,Парк культуры,"55.7356,37.5943"
13,1,Frunzenskaya,Фрунзенская,"55.7267,37.5786"
14,1,Sportivnaya,Спортивная,"55.7233,37.5639"
15,1,Vorobyovy Gory,Воробьёвы горы,"55.7103,37.5592"
16,1,Universitet,Университет,"55.6926,37.5333"
17,1,Prospekt Vernadskogo,Проспект Вернадского,"55.6771,37.5060"
18,1,Yugo-Zapadnaya,Юго-Западная,"55.6637,37.4833"
19,1,Troparyovo,Тропарёво,"55.6459,37.4725"
20,1,Rumyantsevo,Румянцево,"55.6330,37.4419"
21,1,Salaryevo,Саларьево,"55.6227,37.4240"
22,1,Filatov Lug,Филатов Луг,"55.601367,37.407645"
23,1,Prokshino,Прокшино,"55.586242,37.433802"
24,1,Olkhovaya,Ольховая,"55.568643,37.459332"
25,1,Kommunarka,Коммунарка,"55.560396,37.468220"
26,2,Khovrino,Ховрино,"55.8791,37.4822"
27,2,Belomorskaya,Беломорская,"55.8658,37.4764"
28,2,Rechnoy Vokzal,Речной вокзал,"55.8549,37.4761"
29,2,Vodny Stadion,Водный стадион,"55.8398,37.4867"
30,2,Voykovskaya,Войковская,"55.8190,37.4980"
31,2,Sokol,Сокол,"55.8051,37.5153"
32,2,Aeroport,Аэропорт,"55.8003,37.5329"
33,2,Dinamo,Динамо,"55.7897,37.5580"
34,2,Belorusskaya,Белорусская,"55.7767,37.5835"
35,2,Mayakovskaya,Маяковская,"55.7701,37.5958"
36,2,Tverskaya,Тверская,"55.7647,37.6065"
37,2,Teatralnaya,Театральная,"55.7578,37.6190"
38,2,Novokuznetskaya,Новокузнецкая,"55.7415,37.6295"
39,2,Paveletskaya,Павелецкая,"55.7305,37.6377"
40,2,Avtozavodskaya,Автозаводская,"55.7074,37.6576"
41,2,Tekhnopark,Технопарк,"55.6950,37.6641"
42,2,Kolomenskaya,Коломенская,"55.6785,37.6638"
43,2,Kashirskaya,Каширская,"55.6551,37.6487"
44,2,Kantemirovskaya,Кантемировская,"55.6358,37.6564"
45,2,Tsaritsyno,Царицыно,"55.6214,37.6694"
46,2,Orekhovo,Орехово,"55.6132,37.6949"
47,2,Domodedovskaya,Домодедовская,"55.6108,37.7186"
48,2,Krasnogvardeyskaya,Красногвардейская,"55.6137,37.7444"
49,2,Alma-Atinskaya,Алма-Атинская,"55.6326,37.7660"
50,3,Pyatnitskoye Shosse,Пятницкое Шоссе,"55.8563,37.3544"
51,3,Mitino,Митино,"55.8457,37.3622"
52,3,Volokolamskaya,Волоколамская,"55.8354,37.3822"
53,3,Myakinino,Мякинино,"55.8252,37.3852"
54,3,Strogino,Строгино,"55.8038,37.4031"
55,3,Krylatskoye,Крылатское,"55.7567,37.4081"
56,3,Molodyozhnaya,Молодёжная,"55.7408,37.4168"
57,3,Kuntsevskaya,Кунцевская,"55.7307,37.4459"
58,3,Slavyansky Bulvar,Славянский бульвар,"55.7296,37.4706"
59,3,Park Pobedy,Парк Победы,"55.7362,37.5182"
60,3,Kiyevskaya,Киевская,"55.7442,37.5645"
61,3,Smolenskaya,Смоленская,"55.7474,37.5823"
62,3,Arbatskaya,Арбатская,"55.7522,37.6061"
63,3,Ploshchad Revolyutsii,Площадь Революции,"55.7566,37.6216"
64,3,Kurskaya,Курская,"55.7576,37.6577"
65,3,Baumanskaya,Бауманская,"55.7730,37.6806"
66,3,Elektrozavodskaya,Электрозаводская,"55.7817,37.7037"
67,3,Semyonovskaya,Семёновская,"55.7833,37.7208"
68,3,Partizanskaya,Партизанская,"55.7886,37.7506"
69,3,Izmaylovskaya,Измайловская,"55.7878,37.7814"
70,3,Pervomayskaya,Первомайская,"55.7948,37.7993"
71,3,Shchyolkovskaya,Щёлковская,"55.8094,37.7986"
72,4,Kuntsevskaya,Кунцевская,"55.7307,37.4459"
73,4,Pionerskaya,Пионерская,"55.7360,37.4671"
74,4,Filyovsky Park,Филёвский парк,"55.7396,37.4833"
75,4,Bagrationovskaya,Багратионовская,"55.7438,37.4977"
76,4,Fili,Фили,"55.7460,37.5150"
77,4,Kutuzovskaya,Кутузовская,"55.7399,37.5344"
78,4,Studencheskaya,Студенческая,"55.7388,37.5483"
79,4A,Mezhdunarodnaya,Международная,"55.7483,37.5339"
80,4A,Vystavochnaya,Выставочная,"55.7502,37.5408"
81,4,Kiyevskaya,Киевская,"55.7436,37.5655"
82,4,Smolenskaya,Смоленская,"55.7488,37.5825"
83,4,Arbatskaya,Арбатская,"55.7518,37.6007"
84,4,Aleksandrovsky Sad,Александровский сад,"55.7525,37.6085"
85,5,Kiyevskaya,Киевская,"55.7446,37.5644"
86,5,Krasnopresnenskaya,Краснопресненская,"55.7613,37.5774"
87,5,Belorusskaya,Белорусская,"55.7764,37.5844"
88,5,Novoslobodskaya,Новослободская,"55.7799,37.6028"
89,5,Prospekt Mira,Проспект Мира,"55.7798,37.6318"
90,5,Komsomolskaya,Комсомольская,"55.7748,37.6549"
91,5,Kurskaya,Курская,"55.7570,37.6595"
92,5,Taganskaya,Таганская,"55.7418,37.6517"
93,5,Paveletskaya,Павелецкая,"55.7318,37.6379"
94,5,Dobryninskaya,Добрынинская,"55.7291,37.6243"
95,5,Oktyabrskaya,Октябрьская,"55.7297,37.6091"
96,5,Park Kultury,Парк культуры,"55.7357,37.5915"
97,6,Medvedkovo,Медведково,"55.8872,37.6613"
98,6,Babushkinskaya,Бабушкинская,"55.8694,37.6644"
99,6,Sviblovo,Свиблово,"55.8552,37.6527"
100,6,Botanichesky Sad,Ботанический сад,"55.8449,37.6383"
101,6,VDNKh,ВДНХ,"55.8211,37.6411"
102,6,Alekseyevskaya,Алексеевская,"55.8088,37.6390"
103,6,Rizhskaya,Рижская,"55.7936,37.6362"
104,6,Prospekt Mira,Проспект Мира,"55.7812,37.6318"
105,6,Sukharevskaya,Сухаревская,"55.7733,37.6319"
106,6,Turgenevskaya,Тургеневская,"55.7661,37.6374"
107,6,Kitay-gorod,Китай-город,"55.7553,37.6333"
108,6,Tretyakovskaya,Третьяковская,"55.7412,37.6274"
109,6,Oktyabrskaya,Октябрьская,"55.7306,37.6112"
110,6,Shabolovskaya,Шаболовская,"55.7198,37.6083"
111,6,Leninsky Prospekt,Ленинский проспект,"55.7077,37.5861"
112,6,Akademicheskaya,Академическая,"55.6877,37.5733"
113,6,Profsoyuznaya,Профсоюзная,"55.6780,37.5627"
114,6,Novye Cheryomushki,Новые Черёмушки,"55.6702,37.5544"
115,6,Kaluzhskaya,Калужская,"55.6571,37.5405"
116,6,Belyayevo,Беляево,"55.6428,37.5257"
117,6,Konkovo,Коньково,"55.6333,37.5188"
118,6,Tyoply Stan,Тёплый Стан,"55.6191,37.5082"
119,6,Yasenevo,Ясенево,"55.6063,37.5333"
120,6,Novoyasenevskaya,Новоясеневская,"55.6010,37.5541"
121,7,Planernaya,Планерная,"55.8607,37.4364"
122,7,Skhodnenskaya,Сходненская,"55.8505,37.4396"
123,7,Tushinskaya,Тушинская,"55.8267,37.4368"
124,7,Spartak,Спартак,"55.8182,37.4352"
125,7,Shchukinskaya,Щукинская,"55.8086,37.4641"
126,7,Oktyabrskoye Polye,Октябрьское поле,"55.7935,37.4935"
127,7,Polezhayevskaya,Полежаевская,"55.7775,37.5192"
128,7,Begovaya,Беговая,"55.7738,37.5468"
129,7,Ulitsa 1905 Goda,Улица 1905 года,"55.7650,37.5613"
130,7,Barrikadnaya,Баррикадная,"55.7612,37.5795"
131,7,Pushkinskaya,Пушкинская,"55.7650,37.6079"
132,7,Kuznetsky Most,Кузнецкий мост,"55.7606,37.6259"
133,7,Kitay-gorod,Китай-город,"55.7553,37.6333"
134,7,Taganskaya,Таганская,"55.7402,37.6522"
135,7,Proletarskaya,Пролетарская,"55.7319,37.6659"
136,7,Volgogradsky Prospekt,Волгоградский проспект,"55.7253,37.6869"
137,7,Tekstilshchiki,Текстильщики,"55.7088,37.7316"
138,7,Kuzminki,Кузьминки,"55.7056,37.7656"
139,7,Ryazansky Prospekt,Рязанский проспект,"55.7170,37.7933"
140,7,Vykhino,Выхино,"55.7156,37.8181"
141,7,Lermontovsky Prospekt,Лермонтовский проспект,"55.7013,37.8525"
142,7,Zhulebino,Жулебино,"55.6855,37.8563"
143,7,Kotelniki,Котельники,"55.6743,37.8582"
144,8A,Rasskazovka,Рассказовка,"55.6339,37.3347"
145,8A,Novoperedelkino,Новопеределкино,"55.6396,37.3552"
146,8A,Borovskoye Shosse,Боровское Шоссе,"55.6476,37.3701"
147,8A,Solntsevo,Солнцево,"55.6493,37.3909"
148,8A,Govorovo,Говорово,"55.6595,37.4172"
149,8A,Ozyornaya,Озёрная,"55.6709,37.4491"
150,8A,Michurinsky Prospekt,Мичуринский проспект,"55.6896,37.4833"
151,8A,Ramenki,Раменки,"55.6975,37.4984"
152,8A,Lomonosovsky Prospekt,Ломоносовский проспект,"55.7069,37.5156"
153,8A,Minskaya,Минская,"55.7246,37.4970"
154,8A,Park Pobedy,Парк Победы,"55.7362,37.5182"
155,8A,Delovoy Tsentr,Деловой центр,"55.7475,37.5319"
156,8,Tretyakovskaya,Третьяковская,"55.7412,37.6274"
157,8,Marksistskaya,Марксистская,"55.7411,37.6543"
158,8,Ploshchad Ilyicha,Площадь Ильича,"55.7472,37.6824"
159,8,Aviamotornaya,Авиамоторная,"55.7524,37.7191"
160,8,Shosse Entuziastov,Шоссе Энтузиастов,"55.7576,37.7500"
161,8,Perovo,Перово,"55.7511,37.7866"
162,8,Novogireyevo,Новогиреево,"55.7517,37.8166"
163,8,Novokosino,Новокосино,"55.7451,37.8638"
164,9,Altufyevo,Алтуфьево,"55.8980,37.5870"
165,9,Bibirevo,Бибирево,"55.8838,37.6034"
166,9,Otradnoye,Отрадное,"55.8633,37.6047"
167,9,Vladykino,Владыкино,"55.8473,37.5899"
168,9,Petrovsko-Razumovskaya,Петровско-Разумовская,"55.8351,37.5745"
169,9,Timiryazevskaya,Тимирязевская,"55.8176,37.5765"
170,9,Dmitrovskaya,Дмитровская,"55.8069,37.5817"
171,9,Savyolovskaya,Савёловская,"55.7927,37.5885"
172,9,Mendeleyevskaya,Менделеевская,"55.7810,37.6011"
173,9,Tsvetnoy Bulvar,Цветной бульвар,"55.7708,37.6187"
174,9,Chekhovskaya,Чеховская,"55.7644,37.6097"
175,9,Borovitskaya,Боровицкая,"55.7511,37.6072"
176,9,Polyanka,Полянка,"55.7379,37.6180"
177,9,Serpukhovskaya,Серпуховская,"55.7280,37.6246"
178,9,Tulskaya,Тульская,"55.7087,37.6229"
179,9,Nagatinskaya,Нагатинская,"55.6830,37.6224"
180,9,Nagornaya,Нагорная,"55.6724,37.6104"
181,9,Nakhimovsky Prospekt,Нахимовский проспект,"55.6627,37.6055"
182,9,Sevastopolskaya,Севастопольская,"55.6524,37.5984"
183,9,Chertanovskaya,Чертановская,"55.6405,37.6067"
184,9,Yuzhnaya,Южная,"55.6224,37.6090"
185,9,Prazhskaya,Пражская,"55.6124,37.6044"
186,9,Ulitsa Akademika Yangelya,Улица Академика Янгеля,"55.5949,37.6004"
187,9,Annino,Аннино,"55.5828,37.5966"
188,9,Bulvar Dmitriya Donskogo,Бульвар Дмитрия Донского,"55.5693,37.5769"
189,10,Seligerskaya,Селигерская,"55.865000,37.548333"
190,10,Verkhnie Likhobory,Верхние Лихоборы,"55.855833,37.561111"
191,10,Okruzhnaya,Окружная,"55.846000,37.574250"
192,10,Petrovsko-Razumovskaya,Петровско-Разумовская,"55.8351,37.5745"
193,10,Fonvizinskaya,Фонвизинская,"55.8228,37.5881"
194,10,Butyrskaya,Бутырская,"55.8133,37.6028"
195,10,Maryina Roshcha,Марьина Роща,"55.7954,37.6162"
196,10,Dostoyevskaya,Достоевская,"55.7816,37.6151"
